kata,negatif,positif
orang,1,1
disampingnya,0,1
demokratnya,1,0
mah,1,0
gk,1,1
wowo,1,0
anak,1,2
buah,1,0
kayak,1,0
dancok,1,0
untung,1,0
kau,3,0
yg,11,13
diancam,1,0
wo,1,0
tim,1,0
mawar,1,0
ya,3,1
lucu,1,0
gue,2,0
liat,1,1
dukung,1,1
orng,1,0
ndtang,1,0
ilc,1,0
bikin,3,0
malu,2,0
nklo,1,0
dtang,1,0
debat,1,0
salah,1,2
mulu,1,0
nheran,1,0
muji,2,0
ni,1,0
mahluq,1,0
nwajar,1,0
aja,5,1
biar,1,1
berkembang,1,0
biak,1,0
mentok,1,0
muak,0,1
dgn,4,4
tingkah,0,1
pengumpat,0,1
kubu,0,2
puasa,0,2
ramadhan,0,1
segan,0,1
dikotori,0,1
sungguh,0,1
mohon,0,1
bantu,0,1
amankan,0,1
pemilik,0,1
akun,0,1
hatespeech,0,1
takedown,0,1
orangnya,0,1
stop,0,1
fitnah,0,2
insya,0,1
allah,1,2
ayahanda,0,1
tulus,0,1
jujur,1,7
membela,0,1
keadilan,0,1
negeri,0,1
mari,0,2
rakyat,6,5
bodoh,2,1
dungu,0,1
sj,0,1
ndpt,0,1
dipengaruhi,0,1
elit,0,2
politik,2,1
bpnemak,0,1
demo,2,1
mrk,3,2
mati,1,1
pahlawan,0,1
tdk,1,6
keturunan,0,1
menyadang,0,1
predikat,0,1
pemberontakperjuangan,0,1
ujungperistiwa,0,1
smbon,0,1
maluku,0,1
ulah,0,1
propokasi,0,1
poltikbersdr,0,1
salingmembunuhmrk,0,1
sadar,0,1
setlh,0,1
puluhan,0,1
klo,1,2
drmokrat,0,1
keprntingan,0,1
lg,0,4
kah,0,1
pa,1,1
gausah,0,1
turun,0,1
emak,0,3
suka,0,1
menganggp,0,1
lbih,0,1
kalah,7,2
jk,0,1
kalh,0,1
pendkungnya,0,1
ditngkp,0,1
supya,0,1
tau,0,1
jmlh,0,1
oposisi,0,1
sdikit,0,1
cc,0,4
jebakan,1,0
artikan,0,1
power,0,3
kekuatan,1,3
fisik,0,2
moral,0,2
contoh,0,1
kalimat,0,2
patut,0,1
dicerna,0,1
the,0,2
of,0,1
love,0,1
saved,0,1
her,0,1
dlm,0,1
pengertiannya,0,1
mengarah,0,2
kpd,0,2
njangan,1,1
offline,0,1
side,0,1
ndarah,0,1
merah,0,1
pemakan,0,1
darah,0,1
putih,0,1
nsalam,0,1
n321,0,1
rembulan,0,1
senja,0,1
senin,0,1
bang,1,3
mengadakan,0,1
buka,0,1
rumah,0,1
kertanegara,0,1
didampingi,0,1
jajaran,0,1
koalisi,0,1
bpn,2,2
sandi,0,1
memenuhi,0,1
briefing,0,1
teman,0,2
